Scenario,Utilization,A: Mean Wait,A: P95,B: Mean Wait,B: P95,Gap (A-B)
baseline,100%,0.1141,0.632,0.0537,0.000,0.0604
baseline,110%,0.1211,0.702,0.0807,0.033,0.0404
baseline,120%,0.1164,0.723,0.0863,0.033,0.0301
ai_only,100%,0.1141,0.632,0.0537,0.000,0.0604
ai_only,110%,0.1211,0.702,0.0807,0.033,0.0404
ai_only,120%,0.1164,0.723,0.0863,0.033,0.0301
imperfect_ai,100%,0.1141,0.632,0.0537,0.000,0.0604
imperfect_ai,110%,0.1211,0.702,0.0807,0.033,0.0404
imperfect_ai,120%,0.1164,0.723,0.0863,0.033,0.0301
hybrid,100%,0.1069,0.548,0.0548,0.000,0.0521
hybrid,110%,0.1184,0.733,0.0778,0.000,0.0406
hybrid,120%,0.1160,0.712,0.0899,0.067,0.0261
