subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
A,2611,0.0865568747606281,0.0,0.0,0.0,0.0015319800842589,0.9628494829567216,0.9927230945997702,1.0,1.0,run_seed_302_hash_7ac9b09e,302,hybrid,1.0
B,2094,0.0396370582617,0.0,0.0,0.0,0.0004775549188156,0.9785100286532952,0.9980897803247374,1.0,1.0,run_seed_302_hash_7ac9b09e,302,hybrid,1.0
A,2629,0.0977558006846709,0.0,0.0,0.0,0.00076074553062,0.9520730315709396,0.99277291745911,1.0,1.0,run_seed_306_hash_7ac9b09e,306,hybrid,1.0
B,2024,0.058300395256917,0.0,0.0,0.0,0.0,0.9693675889328064,0.9960474308300395,1.0,1.0,run_seed_306_hash_7ac9b09e,306,hybrid,1.0
A,2634,0.1135155656795748,0.0,0.0,1.0,0.0007593014426727,0.9476082004555808,0.9924069855732726,1.0,1.0,run_seed_330_hash_7ac9b09e,330,hybrid,1.0
B,2037,0.04860088365243,0.0,0.0,0.0,0.0009818360333824,0.974963181148748,0.9970544918998528,1.0,1.0,run_seed_330_hash_7ac9b09e,330,hybrid,1.0
A,2332,0.0827615780445969,0.0,0.0,0.0,0.0017152658662092,0.9626929674099486,0.9931389365351628,1.0,1.0,run_seed_323_hash_e4b578ce,323,hybrid,1.1
B,1909,0.0937663698271346,0.0,0.0,0.0,0.001571503404924,0.9722367731796752,0.9895233106338396,0.999476165531692,1.0,run_seed_323_hash_e4b578ce,323,hybrid,1.1
A,2072,0.1027992277992278,0.0,0.0,0.0,0.0009652509652509,0.9522200772200772,0.9942084942084942,0.9995173745173744,1.0,run_seed_301_hash_6135dc5a,301,hybrid,1.2
B,1800,0.11,0.0,0.0,0.0,0.0005555555555555,0.9555555555555556,0.9916666666666668,1.0,1.0,run_seed_301_hash_6135dc5a,301,hybrid,1.2
A,2251,0.1212794313638383,0.0,0.0,1.0,0.0008884940026654,0.94002665482008,0.991559306974678,1.0,1.0,run_seed_320_hash_e4b578ce,320,hybrid,1.1
B,1974,0.0749746707193515,0.0,0.0,0.0,0.0,0.9630192502532928,0.993920972644377,1.0,1.0,run_seed_320_hash_e4b578ce,320,hybrid,1.1
A,2686,0.0927029039463886,0.0,0.0,0.0,0.0007446016381236,0.951228592702904,0.9936708860759492,1.0,1.0,run_seed_327_hash_7ac9b09e,327,hybrid,1.0
B,2041,0.0587947084762371,0.0,0.0,0.0,0.0009799118079372,0.9691327780499756,0.9965703086722196,1.0,1.0,run_seed_327_hash_7ac9b09e,327,hybrid,1.0
A,2579,0.1221403644823575,0.0,0.0,1.0,0.003101977510663,0.9422256688639008,0.9895308259015122,1.0,1.0,run_seed_324_hash_7ac9b09e,324,hybrid,1.0
B,2082,0.0437079731027857,0.0,0.0,0.0,0.0004803073967339,0.9759846301633044,0.9975984630163304,1.0,1.0,run_seed_324_hash_7ac9b09e,324,hybrid,1.0
A,2610,0.0877394636015325,0.0,0.0,0.0,0.0003831417624521,0.9517241379310344,0.9957854406130268,1.0,1.0,run_seed_314_hash_7ac9b09e,314,hybrid,1.0
B,2068,0.0556092843326885,0.0,0.0,0.0,0.0,0.9695357833655706,0.9980657640232108,1.0,1.0,run_seed_314_hash_7ac9b09e,314,hybrid,1.0
A,2063,0.1265147842947164,0.0,0.0,1.0,0.0009694619486185,0.9432864760058168,0.9922443044110518,1.0,1.0,run_seed_330_hash_6135dc5a,330,hybrid,1.2
B,1788,0.0995525727069351,0.0,0.0,0.0,0.0022371364653243,0.9513422818791948,0.993847874720358,1.0,1.0,run_seed_330_hash_6135dc5a,330,hybrid,1.2
A,2280,0.1390350877192982,0.0,0.0,1.0,0.0013157894736842,0.9438596491228072,0.98859649122807,1.0,1.0,run_seed_307_hash_e4b578ce,307,hybrid,1.1
B,1937,0.0913784202374806,0.0,0.0,0.0,0.0020650490449148,0.9540526587506454,0.9953536396489416,1.0,1.0,run_seed_307_hash_e4b578ce,307,hybrid,1.1
A,2365,0.1306553911205074,0.0,0.0,0.0,0.002536997885835,0.9530655391120508,0.988583509513742,1.0,1.0,run_seed_326_hash_e4b578ce,326,hybrid,1.1
B,1870,0.053475935828877,0.0,0.0,0.0,0.0005347593582887,0.9737967914438502,0.997326203208556,1.0,1.0,run_seed_326_hash_e4b578ce,326,hybrid,1.1
A,2265,0.1174392935982339,0.0,0.0,1.0,0.0013245033112582,0.946578366445916,0.990728476821192,1.0,1.0,run_seed_322_hash_e4b578ce,322,hybrid,1.1
B,1957,0.0843127235564639,0.0,0.0,0.0,0.00204394481349,0.961676034747062,0.9928461931527848,1.0,1.0,run_seed_322_hash_e4b578ce,322,hybrid,1.1
A,2637,0.1084565794463405,0.0,0.0,1.0,0.0011376564277588,0.9491846795601062,0.9920364050056882,1.0,1.0,run_seed_326_hash_7ac9b09e,326,hybrid,1.0
B,2066,0.0585672797676669,0.0,0.0,0.0,0.0004840271055179,0.973378509196515,0.9956437560503388,1.0,1.0,run_seed_326_hash_7ac9b09e,326,hybrid,1.0
A,1997,0.1311967951927891,0.0,0.0,1.0,0.0025037556334501,0.9394091136705056,0.9899849774661992,0.99949924887331,1.0,run_seed_310_hash_6135dc5a,310,hybrid,1.2
B,1839,0.0592713431212615,0.0,0.0,0.0,0.0010875475802066,0.9651984774333876,0.9956498096791736,1.0,1.0,run_seed_310_hash_6135dc5a,310,hybrid,1.2
A,2038,0.0971540726202159,0.0,0.0,1.0,0.000981354268891,0.9460255152109912,0.9950932286555446,1.0,1.0,run_seed_329_hash_6135dc5a,329,hybrid,1.2
B,1794,0.1064659977703456,0.0,0.0,1.0,0.0027870680044593,0.9487179487179488,0.992196209587514,1.0,1.0,run_seed_329_hash_6135dc5a,329,hybrid,1.2
A,2305,0.1232104121475054,0.0,0.0,1.0,0.0017353579175704,0.9462039045553146,0.9904555314533624,1.0,1.0,run_seed_316_hash_e4b578ce,316,hybrid,1.1
B,1890,0.0962962962962963,0.0,0.0,0.0,0.0015873015873015,0.9634920634920636,0.9925925925925926,0.9994708994708996,1.0,run_seed_316_hash_e4b578ce,316,hybrid,1.1
A,2035,0.1228501228501228,0.0,0.0,1.0,0.0019656019656019,0.945945945945946,0.9906633906633908,1.0,1.0,run_seed_317_hash_6135dc5a,317,hybrid,1.2
B,1820,0.0884615384615384,0.0,0.0,0.0,0.0016483516483516,0.960989010989011,0.9917582417582418,1.0,1.0,run_seed_317_hash_6135dc5a,317,hybrid,1.2
A,2020,0.1173267326732673,0.0,0.0,1.0,0.0024752475247524,0.9465346534653464,0.9910891089108912,1.0,1.0,run_seed_315_hash_6135dc5a,315,hybrid,1.2
B,1781,0.1066816395283548,0.0,0.0,0.0,0.0016844469399213,0.9500280741156654,0.9927007299270072,1.0,1.0,run_seed_315_hash_6135dc5a,315,hybrid,1.2
A,2612,0.1244257274119448,0.0,0.0,1.0,0.0022970903522205,0.9406584992343032,0.9927258805513016,0.9996171516079632,1.0,run_seed_305_hash_7ac9b09e,305,hybrid,1.0
B,2089,0.0665390138822403,0.0,0.0,0.0,0.0,0.968405935854476,0.9956917185256104,1.0,1.0,run_seed_305_hash_7ac9b09e,305,hybrid,1.0
A,2644,0.1161119515885022,0.0,0.0,1.0,0.0018910741301059,0.9489409984871406,0.9931921331316188,0.9992435703479576,1.0,run_seed_317_hash_7ac9b09e,317,hybrid,1.0
B,2023,0.0519031141868512,0.0,0.0,0.0,0.0,0.9733069698467622,0.9965397923875432,1.0,1.0,run_seed_317_hash_7ac9b09e,317,hybrid,1.0
A,2522,0.1034892942109436,0.0,0.0,0.0,0.0023790642347343,0.9532117367168914,0.9908802537668516,1.0,1.0,run_seed_316_hash_7ac9b09e,316,hybrid,1.0
B,2140,0.0593457943925233,0.0,0.0,0.0,0.0,0.9761682242990656,0.9948598130841122,1.0,1.0,run_seed_316_hash_7ac9b09e,316,hybrid,1.0
A,2099,0.1057646498332539,0.0,0.0,0.0,0.0009528346831824,0.9523582658408766,0.9923773225345404,0.9995235826584088,1.0,run_seed_308_hash_6135dc5a,308,hybrid,1.2
B,1739,0.073605520414031,0.0,0.0,0.0,0.0,0.9574468085106383,0.9965497412305924,1.0,1.0,run_seed_308_hash_6135dc5a,308,hybrid,1.2
A,2259,0.1186365648517042,0.0,0.0,1.0,0.0017706949977866,0.9446657813191678,0.9920318725099602,0.9995573262505534,1.0,run_seed_309_hash_e4b578ce,309,hybrid,1.1
B,1975,0.0663291139240506,0.0,0.0,0.0,0.0010126582278481,0.9630379746835444,0.9954430379746836,1.0,1.0,run_seed_309_hash_e4b578ce,309,hybrid,1.1
A,2605,0.1259117082533589,0.0,0.0,1.0,0.0019193857965451,0.9420345489443378,0.9911708253358924,1.0,1.0,run_seed_328_hash_7ac9b09e,328,hybrid,1.0
B,2087,0.0785816962146622,0.0,0.0,0.0,0.0014374700527072,0.969813128893148,0.9947292764734068,0.9995208433157644,1.0,run_seed_328_hash_7ac9b09e,328,hybrid,1.0
A,2269,0.126046716615249,0.0,0.0,1.0,0.001762891141472,0.9471132657558397,0.992066989863376,0.999118554429264,1.0,run_seed_329_hash_e4b578ce,329,hybrid,1.1
B,1928,0.0892116182572614,0.0,0.0,0.0,0.0031120331950207,0.9610995850622408,0.9927385892116184,1.0,1.0,run_seed_329_hash_e4b578ce,329,hybrid,1.1
A,2041,0.0587947084762371,0.0,0.0,0.0,0.0,0.958843704066634,0.9990200881920628,1.0,1.0,run_seed_323_hash_6135dc5a,323,hybrid,1.2
B,1786,0.0856662933930571,0.0,0.0,0.0,0.0016797312430011,0.9630459126539752,0.992161254199328,1.0,1.0,run_seed_323_hash_6135dc5a,323,hybrid,1.2
A,2060,0.1480582524271844,0.0,0.0,1.0,0.0004854368932038,0.9344660194174758,0.9907766990291262,1.0,1.0,run_seed_307_hash_6135dc5a,307,hybrid,1.2
B,1759,0.0955088118249005,0.0,0.0,0.0,0.0011370096645821,0.9505400795906764,0.9937464468447982,1.0,1.0,run_seed_307_hash_6135dc5a,307,hybrid,1.2
A,2581,0.0906625339015885,0.0,0.0,0.0,0.0019372336303758,0.9546687330492056,0.9945757458349476,1.0,1.0,run_seed_320_hash_7ac9b09e,320,hybrid,1.0
B,2121,0.0749646393210749,0.0,0.0,0.0,0.0014144271570014,0.966996699669967,0.9938708156529938,0.9995285242809996,1.0,run_seed_320_hash_7ac9b09e,320,hybrid,1.0
